T,,B,,C11,C12,,C13,,C33,,C44,,C66
586,,785.727325189,,1377.82331172,527.640985182,,475.7234473,,1361.17420407,,277.431369564,,294.142797518
589,,784.782353562,,1376.61846961,526.717448418,,474.992808674,,1359.8443061,,277.199035738,,293.867139458
592,,783.851238673,,1375.43100232,525.82584954,,474.265820291,,1358.52894401,,276.978771074,,293.609055988
595,,782.933049535,,1374.25978452,524.964246507,,473.54211016,,1357.2271892,,276.769828561,,293.367396481
598,,782.026933193,,1373.10379201,524.130862939,,472.821328193,,1355.93821167,,276.57152342,,293.14110625
601,,781.132108002,,1371.96208961,523.324073833,,472.1031457,,1354.66127193,,276.383227455,,292.929216706
604,,780.24785539,,1370.83382414,522.542386815,,471.387252104,,1353.39571002,,276.204362373,,292.730836932
607,,779.373514529,,1369.71821437,521.784431685,,470.673355725,,1352.14093409,,276.034395941,,292.545145194
610,,778.50847531,,1368.61454327,521.048945378,,469.961180098,,1350.89641567,,275.872836222,,292.371382656
613,,777.65217538,,1367.52215398,520.334764232,,469.250465464,,1349.66167998,,275.719228699,,292.20884693
616,,776.804093188,,1366.44044157,519.640812758,,468.540963981,,1348.43630035,,275.573151869,,292.056886692
619,,775.963746199,,1365.36884867,518.966094134,,467.83244307,,1347.21989496,,275.434214974,,291.914896885
622,,775.130686429,,1364.30686137,518.309687075,,467.124680944,,1346.0121192,,275.302054513,,291.782314111
625,,774.304496647,,1363.25400489,517.670732489,,466.417467225,,1344.81266289,,275.176331958,,291.658613218
628,,773.484788965,,1362.20983919,517.048434109,,465.710602,,1343.62124851,,275.056731607,,291.543303523
631,,772.671201206,,1361.17395758,516.442048623,,465.003895573,,1342.43762186,,274.942958171,,291.43592576
634,,771.863394955,,1360.14598212,515.850882294,,464.297166668,,1341.26155651,,274.834736182,,291.336049546
637,,771.06105423,,1359.12556084,515.274288841,,463.590243194,,1340.09284849,,274.731806259,,291.243270622
640,,770.263882304,,1358.11236807,514.711661555,,462.882959973,,1338.9313117,,274.633926005,,291.157209037
643,,769.471601044,,1357.10609867,514.162432277,,462.17516033,,1337.77677839,,274.540867183,,291.077506653
646,,768.683949556,,1356.10646964,513.626068311,,461.466694225,,1336.62909741,,274.452415077,,291.003825757
